max_features,avg_train_accuracy,std_train_accuracy,avg_val_accuracy,std_val_accuracy
2.0,1.0,0.0,0.52125,0.02893959225697557
4.0,1.0,0.0,0.5525,0.03201562118716424
6.0,1.0,0.0,0.53,0.03980420832022664
8.0,1.0,0.0,0.5387500000000001,0.04058170770186982
10.0,1.0,0.0,0.51875,0.027099354235848517
,1.0,0.0,0.7462500000000001,0.049307707308290066
