,n_estimators,avg_train_accuracy,std_train_accuracy,avg_val_accuracy,std_val_accuracy
0,10,0.99875,0.0011692679333668732,0.8625,0.033541019662496833
1,20,1.0,0.0,0.9200000000000002,0.02318404623873926
2,50,1.0,0.0,0.9400000000000001,0.015103807466993226
3,75,1.0,0.0,0.945,0.011456439237389603
4,100,1.0,0.0,0.94375,0.024685522072664393
