min_samples_leaf,avg_train_accuracy,std_train_accuracy,avg_val_accuracy,std_val_accuracy
1,1.0,0.0,0.7462500000000001,0.049307707308290066
2,0.9650000000000001,0.0035078038001005764,0.7612500000000001,0.04513867521316949
3,0.9446875,0.007234898064243898,0.7575,0.052500000000000005
5,0.9106249999999999,0.009238590936934056,0.74875,0.0433733789322437
7,0.883125,0.010615804844664374,0.7550000000000001,0.036954363747736196
9,0.8612500000000001,0.00918558653543691,0.74,0.03720719016534304
10,0.8528125,0.01402425354519807,0.735,0.05102082907989638
