depth,avg_train_accuracy,std_train_accuracy,avg_val_accuracy,std_val_accuracy
10.0,0.889375,0.025567771461353438,0.71375,0.05908151149048238
20.0,0.9990625,0.000765465544619754,0.755,0.050990195135927854
30.0,1.0,0.0,0.7462500000000001,0.049307707308290066
40.0,1.0,0.0,0.7462500000000001,0.049307707308290066
50.0,1.0,0.0,0.7462500000000001,0.049307707308290066
70.0,1.0,0.0,0.7462500000000001,0.049307707308290066
100.0,1.0,0.0,0.7462500000000001,0.049307707308290066
,1.0,0.0,0.7462500000000001,0.049307707308290066
