,min_sample_leaf_value,avg_train_accuracy,std_train_accuracy,avg_val_accuracy,std_val_accuracy
0,1,1.0,0.0,0.95,0.011858541225631427
1,2,1.0,0.0,0.9475,0.016105123408406388
2,5,0.9893749999999999,0.0011692679333668377,0.9412499999999999,0.018791620472966137
3,7,0.976875,0.002688226645950823,0.9387500000000001,0.014999999999999982
4,9,0.9684375,0.0024999999999999966,0.9337499999999999,0.02150581316760657
5,10,0.9671875,0.006011057519272276,0.93125,0.018540496217739143
