Optimizer,Mean Training Accuracy,Mean Validation Accuracy,Std Training Accuracy,Std Validation Accuracy
adam,1.0,0.969,0.0,0.00489897948556636
sgd,0.31675000000000003,0.305,0.079508647328451,0.06655824516917494
rmsprop,1.0,0.9709999999999999,0.0,0.006633249580710806
adagrad,0.25575000000000003,0.257,0.0233532652963135,0.027856776554368235
